2026-05-05_11-03-21,0,lista.go:2026-05-05_11-03-21;main.go:2026-05-05_11-03-21
2026-05-05_16-09-58,0,lista.go:2026-05-05_11-03-21;main.go:2026-05-05_16-09-58
2026-05-05_16-09-58,---,lista.go:2026-05-05_11-03-21;main.go:2026-05-05_16-09-58
2026-06-02_16-44-46,0,lista.go:2026-05-05_11-03-21;main.go:2026-06-02_16-44-46
2026-06-02_16-45-02,0,lista.go:2026-05-05_11-03-21;main.go:2026-06-02_16-44-46
2026-06-02_16-45-10,0,lista.go:2026-05-05_11-03-21;main.go:2026-06-02_16-44-46
2026-06-02_16-45-18,100,lista.go:2026-05-05_11-03-21;main.go:2026-06-02_16-44-46
