2026-05-05 10:23:53, MOVE, v:1, k:ed@editorint, mode:DOWN
2026-05-05 10:23:55, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 10:26:20, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 10:28:05, EXEC, v:1, k:src@go, mode:FREE, size:259
2026-05-05 10:30:26, EXEC, v:1, k:src@go, mode:FREE
2026-05-05 10:31:20, MOVE, v:1, k:ed@editorint, mode:DOWN
2026-05-05 10:31:21, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 10:33:50, EXEC, v:1, k:src@go, mode:FREE
2026-05-05 10:33:57, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 10:34:33, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 10:39:08, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 10:48:03, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 10:52:18, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 11:03:21, EXEC, v:1, k:ed@editorint, mode:LOCK, rate:0, size:259
2026-05-05 11:03:32, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 11:03:57, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:07:30, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:08:02, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:09:01, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:15:33, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:22:29, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:25:23, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:26:06, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:27:04, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:32:25, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:32:59, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:33:53, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 16:00:15, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 16:00:18, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 16:00:37, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 16:00:50, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 16:05:25, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 16:05:36, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 16:05:56, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 16:08:59, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 16:09:08, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 16:09:49, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 16:09:58, EXEC, v:1, k:ed@editorint, mode:LOCK, rate:0, size:268
2026-05-05 16:09:58, EXEC, v:1, k:ed@editorint, mode:FREE, size:268
2026-05-05 16:10:04, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 16:10:39, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 16:10:52, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 16:23:11, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 16:23:26, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 16:25:10, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 16:25:24, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 16:29:12, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 16:30:47, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 16:30:52, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 16:31:32, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 16:31:55, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 16:35:15, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 16:35:18, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 16:35:40, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 16:41:54, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 16:41:57, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 16:42:16, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 16:49:57, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 16:50:02, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 16:50:52, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 16:56:16, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 16:56:20, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 16:59:37, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 17:04:46, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 17:04:54, EXEC, v:1, k:ed@editorint, mode:FREE
